players,birth_date,college,name,year_start,year_end,position,height,weight
Tom Abernethy,"May 6, 1954",Indiana University,Alaa Abdelnaby,1991,1995,F-C,6-10,240
Michael Jordan,"February 17, 1963",University of North Carolina,Alaa Abdelnaby,1991,1995,F-C,6-10,240
